نام,آدرس,نوع پست,ظرفیت,فیدر,کد شناسایی
گیل مرغانه,پیربازار - کفته رود - خنچه - خیابان جمهوری جنب برنجکوبی,اختصاصی,0,طالقانی - فیدر علی آباد,E3101@00000SB00678
پست پدمانتد ساختمان کاخ,خیابان 96 کوچه میخک,عمومی و اختصاصی,500,شهید مقدم - فیدر دیلمان,E3101@00000SB00679
پست RMUانشعاب اولیه آقای قدیر موقتی,گلسار نبش خیابان 117,اختصاصی,0,شهید مقدم - فیدر گلسار 7,E3101@00000SB00568
گلسار7,بلوار گیلان انتهای خیابان 179,عمومى,1000,توحید - فیدر گلایل,E3101@00000SB00571
توسکا,بلوار احسان بخش مجتمع توسکا,عمومی و اختصاصی,1000,معلم - فیدر زرجوب,E3101@00000SB00572
مجتمع خانه کارگری,جاده انزلی خیابان خانجانی مجتمع خانه کارگری,عمومى,1000,شهید مقدم - فیدر رینگ شهر,E3101@00000SB00528
طناب بافی خزر گیل,جاده انزلیپشت دیوار فرودگاه جنب پایگاه هوایی مقدم,عمومی و اختصاصی,800,پوشش - فیدر هلال احمر,E3101@00000SB00529
الغدیر2,خیابان شهدا دیانتی مجتمع الغدیر2,عمومى,800,شهید مقدم - فیدر لاهیجان,E3101@00000SB00530
مجتمع ابریشم,خیابان شهدا مجتمع ابریشم,عمومى,1260,شهید مقدم - فیدر پردیسان,E3101@00000SB00532
دیوان محاسبات,گلسار  دیوان محاسبات,عمومی و اختصاصی,630,قلی پور - فیدر فرهنگیان,E3101@00000SB00531
بانک پاسارگاد,میدان باستانی شعار (صابرین),عمومی و اختصاصی,1250,قلی پور - فیدر یادگار امام,E3101@00000SB00533
تصفیه آّب,جاده پیربازار تخته پل کماکل,اختصاصی,0,توحید - فیدر پیربازار,E3101@00000SB00534
کشتارگاه مرغ غلامی و فرزانه صفری ,پیربازار انتهای محمود آباد,اختصاصی,0,توحید - فیدر پیربازار,E3101@00000SB00535
مرغداری سپید ماکیان,پیربازار کفترود,اختصاصی,0,طالقانی - فیدر پسیخان,E3101@00000SB00536
مسجد صادقیه - ژاندارمری,بلوار احمد زاده ژاندارمری مسجد صادقیه,عمومی و اختصاصی,800,شهید مقدم - فیدر کانادا,E3101@NZ000SB00127
کامپکت(فشرده)مسعود,بلوار انصاری نبش کوچه مسعود,عمومی و اختصاصی,1000,شهید مقدم - فیدر کانادا,E3101@00000SB00439
فرهنگیان 1,بلوار نماز نبش کوچه سوگند,عمومی و اختصاصی,1000,قلی پور - فیدر فرهنگیان,E3101@00000SB00452
20 متری گاز,بلوار گیلان خیابان انتهای  192,عمومی و اختصاصی,1000,توحید - فیدر بیست متری گاز,E3101@00000SB00459
باقر آباد 2,باقر آباد ,عمومى,1000,معلم - فیدر باقرآباد,E3101@NZ000SB00253
یادگار امام,بلوار نماز مجموعه ورزشی یادگار امام,عمومی و اختصاصی,800,قلی پور - فیدر نواب,E3101@NZ000SB00092
